School_Year,Run_Type,Reason,Boro,Bus_Company_Name,School_Age_or_PreK,Number_Of_Students_On_The_Bus,Occurred_On_Hour,Occurred_On_Month,How_Long_Delayed,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,10,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,All Boroughs,HOYT TRANSPORTATION CORP.,School-Age,2,8,12,0-15 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,2,8,12,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Other,Bronx,"G.V.C., LTD.",Pre-K,5,7,11,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,8,2,16-30 Min,Yes,No,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,14,11,31-45 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,"BORO TRANSIT, INC.",School-Age,0,6,11,31-45 Min,No,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,8,10,31-45 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Queens,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,14,1,31-45 Min,Yes,No,Yes
2019-2020,Special Ed PM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,15,10,46-60 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Other,Brooklyn,ALLIED TRANSIT CORP.,School-Age,1,7,5,0-15 Min,No,No,No
2021-2022,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,7,1,16-30 Min,No,No,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,3,7,5,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,7,5,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Other,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,1,6,11,16-30 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,3,7,10,16-30 Min,No,No,No
2018-2019,General Ed AM Run,Mechanical Problem,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,5,31-45 Min,Yes,No,No
2022-2023,Pre-K/EI,Heavy Traffic,Brooklyn,L & M BUS CORP.,Pre-K,0,10,12,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,9,46-60 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,1,15,1,16-30 Min,Yes,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,4,8,3,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Other,Queens,"LORINDA ENTERPRISES, LTD.",School-Age,0,7,6,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,12,31-45 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,B & F SKILLED INC.(B2192),School-Age,3,7,10,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,2,6,4,31-45 Min,Yes,Yes,Yes
2019-2020,Special Ed PM Run,Late return from Field Trip,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,14,11,16-30 Min,Yes,No,Yes
2018-2019,General Ed AM Run,Late return from Field Trip,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,11,6,16-30 Min,Yes,No,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,9,16-30 Min,No,No,No
2018-2019,Special Ed AM Run,Problem Run,Brooklyn,JOFAZ TRANSPORTATION INC.,School-Age,9,7,11,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,5,1,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Flat Tire,Queens,"THOMAS BUSES, INC. (B2321)",School-Age,0,6,5,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,3,16-30 Min,No,No,No
2019-2020,General Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,8,7,2,16-30 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,9,7,1,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,3,16-30 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,12,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,10,31-45 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Other,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,12,3,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Brooklyn,CAREFUL BUS,School-Age,6,7,12,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,ALLIED TRANSIT CORP.,School-Age,3,7,1,16-30 Min,No,No,No
2019-2020,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,19,7,11,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,7,8,9,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Westchester,VAN TRANS LLC (B2192),School-Age,1,8,6,0-15 Min,Yes,Yes,Yes
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,1,7,9,0-15 Min,Yes,No,No
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,1,7,4,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,5,6,61-90 Min,Yes,Yes,No
2021-2022,General Ed AM Run,Heavy Traffic,Manhattan,SNT BUS INC,School-Age,0,6,1,31-45 Min,Yes,No,No
2021-2022,Pre-K/EI,Weather Conditions,Brooklyn,L & M BUS CORP.,Pre-K,0,9,1,16-30 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,15,10,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Problem Run,Brooklyn,JOFAZ TRANSPORTATION INC.,School-Age,6,7,10,61-90 Min,Yes,Yes,No
2019-2020,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,5,7,10,0-15 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,10,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,10,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,6,6,12,46-60 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,11,7,2,61-90 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,L & M BUS CORP (A),School-Age,0,6,11,46-60 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,61-90 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Westchester,VAN TRANS LLC (B2192),School-Age,0,6,3,0-15 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,5,11,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,7,7,9,61-90 Min,No,No,No
2022-2023,General Ed AM Run,Late return from Field Trip,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,12,5,46-60 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,4,7,10,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,3,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Queens,ALLIED TRANSIT CORP.,School-Age,3,7,1,16-30 Min,Yes,Yes,No
2019-2020,General Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,14,1,0-15 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,"DON THOMAS BUSES, INC. (B2321)",School-Age,6,7,10,0-15 Min,Yes,Yes,Yes
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,14,9,31-45 Min,No,No,No
2022-2023,General Ed Field Trip,Heavy Traffic,Manhattan,SNT BUS INC,School-Age,0,9,3,0-15 Min,Yes,No,No
2022-2023,Special Ed AM Run,Other,Queens,"LORINDA ENTERPRISES, LTD.",School-Age,0,7,5,61-90 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,LITTLE LISA BUS CO. INC.,School-Age,0,6,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,EMPIRE CHARTER SERVICE INC,School-Age,4,7,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,3,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,4,0-15 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,11,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Nassau County,HOYT TRANSPORTATION CORP.,School-Age,0,7,1,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,"LORINDA ENTERPRISES, LTD.",School-Age,0,6,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,5,10,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,3,7,3,31-45 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Late return from Field Trip,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,14,4,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,5,7,5,61-90 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,7,7,1,46-60 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Late return from Field Trip,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,0,6,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,31-45 Min,No,Yes,No
2022-2023,Special Ed AM Run,Mechanical Problem,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,1,16-30 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,6,4,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,3,7,10,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,12,16-30 Min,Yes,No,No
2020-2021,Special Ed PM Run,Won`t Start,Queens,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,13,4,31-45 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,13,8,1,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Other,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,7,11,31-45 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,6,11,46-60 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,1,6,1,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,5,16-30 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Other,Queens,ALINA SERVICES CORP.,Pre-K,18,7,1,0-15 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,7,9,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Other,Manhattan,LITTLE LISA BUS CO. INC.,School-Age,0,7,2,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,CAREFUL BUS,School-Age,6,7,9,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,5,7,1,16-30 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,15,10,46-60 Min,No,No,No
2019-2020,Special Ed PM Run,Other,Bronx,G.V.C. LTD. (B2192),School-Age,0,14,3,16-30 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,14,11,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Flat Tire,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,1,16-30 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,G.V.C. LTD. (B2192),School-Age,0,15,10,0-15 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Problem Run,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,4,7,10,31-45 Min,No,No,No
2019-2020,Special Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,10,16-30 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,4,7,1,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,5,31-45 Min,Yes,Yes,Yes
2018-2019,Pre-K/EI,Other,Bronx,"G.V.C., LTD.",Pre-K,0,12,5,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Queens,JOFAZ TRANSPORTATION INC.,School-Age,0,14,12,31-45 Min,No,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Nassau County,HOYT TRANSPORTATION CORP.,School-Age,0,6,9,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Weather Conditions,Staten Island,L & M BUS CORP (A),School-Age,0,6,3,31-45 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,7,3,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,18,7,12,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Nassau County,CAREFUL BUS,School-Age,5,7,9,16-30 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,ANOTHER RIDE INC.,Pre-K,16,7,12,0-15 Min,No,Yes,No
2021-2022,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,5,8,5,0-15 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,"BORO TRANSIT, INC.",School-Age,0,6,2,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,7,12,31-45 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Problem Run,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,10,46-60 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,8,7,12,31-45 Min,Yes,Yes,No
2021-2022,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,6,16-30 Min,No,No,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,5,31-45 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Other,Brooklyn,JOFAZ TRANSPORTATION INC.,School-Age,0,6,6,16-30 Min,Yes,No,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,7,6,16-30 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,4,46-60 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,14,4,0-15 Min,Yes,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,4,7,5,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,7,10,61-90 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,12,0-15 Min,Yes,Yes,Yes
2019-2020,General Ed PM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,15,15,11,46-60 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,13,3,0-15 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,10,31-45 Min,Yes,Yes,Yes
2022-2023,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,0,7,5,16-30 Min,Yes,Yes,No
2021-2022,General Ed PM Run,Heavy Traffic,Queens,BOBBY`S BUS CO. INC.,School-Age,0,13,11,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,8,5,46-60 Min,No,No,No
2022-2023,General Ed AM Run,Mechanical Problem,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,3,16-30 Min,Yes,No,No
2019-2020,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,2,31-45 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Queens,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,13,3,46-60 Min,Yes,No,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,3,6,4,16-30 Min,No,No,No
2020-2021,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,3,31-45 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,14,8,3,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Accident,Bronx,G.V.C. LTD. (B2192),School-Age,1,7,1,61-90 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Late return from Field Trip,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,13,6,46-60 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,7,12,31-45 Min,Yes,Yes,Yes
2018-2019,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,1,7,1,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE STATE BUS CORP.,School-Age,1,6,4,16-30 Min,Yes,Yes,No
2020-2021,General Ed AM Run,Other,Bronx,BOBBY`S BUS CO. INC.,School-Age,0,6,2,46-60 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,8,5,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Westchester,"BORO TRANSIT, INC.",School-Age,0,8,1,16-30 Min,Yes,No,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,1,7,10,61-90 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,3,7,11,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,14,10,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,11,46-60 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,3,7,3,0-15 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,HOYT TRANSPORTATION CORP.,School-Age,2,7,5,0-15 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,7,5,46-60 Min,Yes,Yes,Yes
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,10,46-60 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,5,61-90 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,14,10,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Other,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,4,0-15 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,7,7,4,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,L & M BUS CORP (A),School-Age,0,6,1,61-90 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Queens,QUALITY TRANSPORTATION CORP.,School-Age,0,6,3,0-15 Min,No,No,No
2021-2022,General Ed AM Run,Other,Brooklyn,ALLIED TRANSIT CORP.,School-Age,15,7,3,16-30 Min,No,No,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,0,16,3,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,11,31-45 Min,Yes,Yes,Yes
2021-2022,Pre-K/EI,Other,Bronx,PHILLIPS BUS SERVICE,Pre-K,0,6,1,16-30 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Problem Run,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,9,16-30 Min,Yes,Yes,Yes
2021-2022,Special Ed PM Run,Heavy Traffic,Nassau County,"THOMAS BUSES, INC. (B2321)",School-Age,0,14,6,0-15 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Accident,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,15,1,46-60 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,13,2,61-90 Min,No,No,No
2018-2019,General Ed AM Run,Other,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,School-Age,0,6,11,16-30 Min,No,No,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,7,8,10,31-45 Min,No,No,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,GVC LTD,Pre-K,9,7,11,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Late return from Field Trip,Bronx,VAN TRANS LLC (B2192),School-Age,0,13,5,46-60 Min,Yes,Yes,Yes
2019-2020,General Ed AM Run,Heavy Traffic,Bronx,LOGAN TRANSPORTATION SYSTEMS,School-Age,0,6,9,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,6,3,31-45 Min,No,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,1,6,1,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Other,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,14,4,16-30 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,10,31-45 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Other,Bronx,"G.V.C., LTD.",Pre-K,0,7,5,16-30 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Other,Manhattan,SNT BUS INC,School-Age,0,6,5,46-60 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,School-Age,0,8,3,16-30 Min,Yes,No,No
2021-2022,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,10,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Brooklyn,Y & M TRANSIT CORP (B2192),School-Age,0,6,10,16-30 Min,Yes,Yes,No
